time_sec,left_pos_error_m,left_ori_error_deg,left_rank,left_condition_number,left_scale,left_qdot_1,left_qdot_2,left_qdot_3,left_qdot_4,left_qdot_5,left_qdot_6,right_pos_error_m,right_ori_error_deg,right_rank,right_condition_number,right_scale,right_qdot_1,right_qdot_2,right_qdot_3,right_qdot_4,right_qdot_5,right_qdot_6
0.5174621770000001,1.1102230246251565e-16,0.0,6,10.822580553178328,1.0,4.530089322789082e-20,2.5183587478312727e-17,1.0909944554212671e-16,-8.782201368199992e-20,-1.341995070501891e-16,9.980325320914454e-20,2.2887833992611187e-16,0.0,6,10.820338159647315,1.0,1.7281311162560626e-20,3.2912927454077677e-16,-6.581751317197405e-16,1.918213012341048e-19,3.2875943102130804e-16,-1.2286960423878001e-19
1.016928392,1.1102230246251565e-16,0.0,6,10.822580553178328,1.0,4.530089322789082e-20,2.5183587478312727e-17,1.0909944554212671e-16,-8.782201368199992e-20,-1.341995070501891e-16,9.980325320914454e-20,2.2887833992611187e-16,0.0,6,10.820338159647315,1.0,1.7281311162560626e-20,3.2912927454077677e-16,-6.581751317197405e-16,1.918213012341048e-19,3.2875943102130804e-16,-1.2286960423878001e-19
1.517175101,1.1102230246251565e-16,0.0,6,10.822580553178328,1.0,4.530089322789082e-20,2.5183587478312727e-17,1.0909944554212671e-16,-8.782201368199992e-20,-1.341995070501891e-16,9.980325320914454e-20,2.2887833992611187e-16,0.0,6,10.820338159647315,1.0,1.7281311162560626e-20,3.2912927454077677e-16,-6.581751317197405e-16,1.918213012341048e-19,3.2875943102130804e-16,-1.2286960423878001e-19
2.0169178640000003,1.1102230246251565e-16,0.0,6,10.822580553178328,1.0,4.530089322789082e-20,2.5183587478312727e-17,1.0909944554212671e-16,-8.782201368199992e-20,-1.341995070501891e-16,9.980325320914454e-20,2.2887833992611187e-16,0.0,6,10.820338159647315,1.0,1.7281311162560626e-20,3.2912927454077677e-16,-6.581751317197405e-16,1.918213012341048e-19,3.2875943102130804e-16,-1.2286960423878001e-19
2.516937958,1.1102230246251565e-16,0.0,6,10.822580553178328,1.0,4.530089322789082e-20,2.5183587478312727e-17,1.0909944554212671e-16,-8.782201368199992e-20,-1.341995070501891e-16,9.980325320914454e-20,2.2887833992611187e-16,0.0,6,10.820338159647315,1.0,1.7281311162560626e-20,3.2912927454077677e-16,-6.581751317197405e-16,1.918213012341048e-19,3.2875943102130804e-16,-1.2286960423878001e-19
3.017346818,1.1102230246251565e-16,0.0,6,10.822580553178328,1.0,4.530089322789082e-20,2.5183587478312727e-17,1.0909944554212671e-16,-8.782201368199992e-20,-1.341995070501891e-16,9.980325320914454e-20,2.2887833992611187e-16,0.0,6,10.820338159647315,1.0,1.7281311162560626e-20,3.2912927454077677e-16,-6.581751317197405e-16,1.918213012341048e-19,3.2875943102130804e-16,-1.2286960423878001e-19
3.5180238630000003,1.1102230246251565e-16,0.0,6,10.822580553178328,1.0,4.530089322789082e-20,2.5183587478312727e-17,1.0909944554212671e-16,-8.782201368199992e-20,-1.341995070501891e-16,9.980325320914454e-20,2.2887833992611187e-16,0.0,6,10.820338159647315,1.0,1.7281311162560626e-20,3.2912927454077677e-16,-6.581751317197405e-16,1.918213012341048e-19,3.2875943102130804e-16,-1.2286960423878001e-19
4.018039883,1.1102230246251565e-16,0.0,6,10.822580553178328,1.0,4.530089322789082e-20,2.5183587478312727e-17,1.0909944554212671e-16,-8.782201368199992e-20,-1.341995070501891e-16,9.980325320914454e-20,2.2887833992611187e-16,0.0,6,10.820338159647315,1.0,1.7281311162560626e-20,3.2912927454077677e-16,-6.581751317197405e-16,1.918213012341048e-19,3.2875943102130804e-16,-1.2286960423878001e-19
4.516903609,1.1102230246251565e-16,0.0,6,10.822580553178328,1.0,4.530089322789082e-20,2.5183587478312727e-17,1.0909944554212671e-16,-8.782201368199992e-20,-1.341995070501891e-16,9.980325320914454e-20,2.2887833992611187e-16,0.0,6,10.820338159647315,1.0,1.7281311162560626e-20,3.2912927454077677e-16,-6.581751317197405e-16,1.918213012341048e-19,3.2875943102130804e-16,-1.2286960423878001e-19
5.0168636200000005,1.1102230246251565e-16,0.0,6,10.822580553178328,1.0,4.530089322789082e-20,2.5183587478312727e-17,1.0909944554212671e-16,-8.782201368199992e-20,-1.341995070501891e-16,9.980325320914454e-20,2.2887833992611187e-16,0.0,6,10.820338159647315,1.0,1.7281311162560626e-20,3.2912927454077677e-16,-6.581751317197405e-16,1.918213012341048e-19,3.2875943102130804e-16,-1.2286960423878001e-19
5.51699492,1.1102230246251565e-16,0.0,6,10.822580553178328,1.0,4.530089322789082e-20,2.5183587478312727e-17,1.0909944554212671e-16,-8.782201368199992e-20,-1.341995070501891e-16,9.980325320914454e-20,2.2887833992611187e-16,0.0,6,10.820338159647315,1.0,1.7281311162560626e-20,3.2912927454077677e-16,-6.581751317197405e-16,1.918213012341048e-19,3.2875943102130804e-16,-1.2286960423878001e-19
6.018080403000001,1.1102230246251565e-16,0.0,6,10.822580553178328,1.0,4.530089322789082e-20,2.5183587478312727e-17,1.0909944554212671e-16,-8.782201368199992e-20,-1.341995070501891e-16,9.980325320914454e-20,2.2887833992611187e-16,0.0,6,10.820338159647315,1.0,1.7281311162560626e-20,3.2912927454077677e-16,-6.581751317197405e-16,1.918213012341048e-19,3.2875943102130804e-16,-1.2286960423878001e-19
6.5167920630000005,1.1102230246251565e-16,0.0,6,10.822580553178328,1.0,4.530089322789082e-20,2.5183587478312727e-17,1.0909944554212671e-16,-8.782201368199992e-20,-1.341995070501891e-16,9.980325320914454e-20,2.2887833992611187e-16,0.0,6,10.820338159647315,1.0,1.7281311162560626e-20,3.2912927454077677e-16,-6.581751317197405e-16,1.918213012341048e-19,3.2875943102130804e-16,-1.2286960423878001e-19
7.016972627,1.1102230246251565e-16,0.0,6,10.822580553178328,1.0,4.530089322789082e-20,2.5183587478312727e-17,1.0909944554212671e-16,-8.782201368199992e-20,-1.341995070501891e-16,9.980325320914454e-20,2.2887833992611187e-16,0.0,6,10.820338159647315,1.0,1.7281311162560626e-20,3.2912927454077677e-16,-6.581751317197405e-16,1.918213012341048e-19,3.2875943102130804e-16,-1.2286960423878001e-19
